Date,Open,High,Low,Close,Adj Close,Volume
2021-10-04,53.060001,53.529999,52.400002,52.990002,51.433479,18973400
2021-10-05,53.020000,53.470001,52.930000,53.080002,51.520840,17173100
2021-10-06,52.770000,53.770000,52.509998,53.709999,52.132332,21284500
2021-10-07,53.990002,54.279999,53.810001,53.880001,52.297340,13774400
2021-10-08,54.000000,54.389999,53.900002,54.119999,52.530285,13786800
2021-10-11,54.209999,54.389999,54.009998,54.230000,52.637058,12378500
2021-10-12,54.419998,54.830002,54.220001,54.230000,52.637058,19474400
2021-10-13,54.169998,54.430000,53.790001,54.240002,52.646763,12143300
2021-10-14,54.389999,54.810001,54.310001,54.610001,53.005894,13704000
2021-10-15,54.639999,54.880001,54.290001,54.480000,52.879711,17867000
2021-10-18,54.349998,54.389999,53.860001,53.939999,52.355576,15861800
2021-10-19,54.040001,54.200001,53.770000,54.150002,52.559406,11068500
2021-10-20,54.180000,54.759998,54.110001,54.630001,53.025307,12474800
2021-10-21,54.599998,54.669998,54.209999,54.349998,52.753529,14388300
2021-10-22,54.389999,54.529999,54.070000,54.450001,52.850594,12828600
2021-10-25,54.380001,54.470001,54.020000,54.230000,52.637058,11855000
2021-10-26,54.320000,54.580002,54.230000,54.470001,52.870007,12086700
2021-10-27,55.970001,56.080002,55.270000,55.520000,53.889164,24019800
2021-10-28,55.750000,56.110001,55.619999,56.040001,54.393887,15928000
2021-10-29,55.869999,56.470001,55.779999,56.369999,54.714199,24463700
2021-11-01,56.389999,56.400002,55.900002,56.169998,54.520069,11651100
2021-11-02,56.470001,56.500000,55.970001,56.099998,54.452126,11498900
2021-11-03,56.000000,56.330002,55.779999,56.290001,54.636551,10788300
2021-11-04,56.110001,56.630001,56.029999,56.599998,54.937439,10820200
2021-11-05,56.840000,57.160000,56.590000,56.840000,55.170391,12886700
2021-11-08,56.750000,56.889999,56.130001,56.330002,54.675373,12828000
2021-11-09,56.410000,56.520000,56.090000,56.490002,54.830673,10155800
2021-11-10,56.540001,56.919998,56.290001,56.720001,55.053917,8813600
2021-11-11,56.830002,56.880001,56.570000,56.740002,55.073330,7257700
2021-11-12,56.750000,56.990002,56.549999,56.610001,54.947147,10162500
2021-11-15,56.529999,56.680000,56.270000,56.619999,54.956852,10289200
2021-11-16,56.619999,56.939999,56.189999,56.220001,54.568604,13756500
2021-11-17,56.040001,56.049999,55.650002,55.910000,54.267708,13288700
2021-11-18,55.830002,55.930000,55.139999,55.410000,53.782394,15380100
2021-11-19,55.439999,55.490002,54.900002,55.130001,53.510620,15813700
2021-11-22,55.099998,56.020000,55.080002,55.470001,53.840633,16905600
2021-11-23,55.660000,56.110001,55.500000,55.880001,54.238590,13835900
2021-11-24,55.709999,55.840000,55.029999,55.430000,53.801811,12598900
2021-11-26,54.590000,54.750000,53.580002,53.730000,52.151745,14754300
2021-11-29,54.049999,54.730000,53.930000,54.580002,52.976776,22712500
2021-11-30,53.599998,53.630001,52.439999,52.450001,51.304134,30485200
2021-12-01,52.980000,53.520000,52.279999,52.299999,51.157410,18719600
2021-12-02,52.599998,53.340000,52.509998,53.070000,51.910591,17074200
2021-12-03,53.330002,53.610001,52.980000,53.540001,52.370323,21064400
2021-12-06,54.310001,55.250000,54.139999,54.910000,53.710388,26624100
2021-12-07,55.020000,55.419998,54.849998,55.209999,54.003834,23832700
2021-12-08,55.119999,55.349998,54.360001,55.000000,53.798428,18026300
2021-12-09,54.750000,55.130001,54.590000,54.860001,53.661480,13846400
2021-12-10,55.250000,56.320000,55.070000,56.279999,55.050461,23153600
2021-12-13,56.980000,57.930000,56.959999,57.759998,56.498127,31362800
2021-12-14,57.400002,58.169998,57.400002,57.799999,56.537254,24806600
2021-12-15,57.930000,58.250000,57.650002,58.060001,56.791576,24923800
2021-12-16,57.980000,58.880001,57.900002,58.650002,57.368683,24696900
2021-12-17,58.490002,58.919998,57.700001,57.730000,56.468781,51874400
2021-12-20,57.200001,57.779999,57.000000,57.540001,56.282932,20879500
2021-12-21,57.610001,57.970001,57.529999,57.770000,56.507908,15864900
2021-12-22,57.709999,58.189999,57.490002,58.180000,56.908955,12447400
2021-12-23,58.520000,58.610001,57.939999,58.220001,56.948082,11027300
2021-12-27,58.000000,58.689999,58.000000,58.650002,57.368683,9860000
